0 verbose cli /usr/bin/node /tmp/claude-1000/-home-akis-Desktop-pi-lens/***/scratchpad/wt-knip/.probe-home/npm-cache/_npx/531a256430e91eb0/node_modules/.bin/npm
1 info using npm@11.18.0
2 info using node@v22.22.1
3 silly config load:file:/tmp/claude-1000/-home-akis-Desktop-pi-lens/***/scratchpad/wt-knip/.probe-home/npm-cache/_npx/531a256430e91eb0/node_modules/npm/npmrc
4 silly config load:file:/tmp/pi-lens-lockfile-complete-hw37Xu/tree/.npmrc
5 silly config load:file:/home/akis/.npmrc
6 silly config load:file:/etc/npmrc
7 verbose title npm install
8 verbose argv "install" "--ignore-scripts" "--no-audit" "--no-fund"
9 verbose logfile logs-max:10 dir:/tmp/claude-1000/-home-akis-Desktop-pi-lens/***/scratchpad/wt-knip/.probe-home/npm-cache/_logs/2026-09-09T18_40_29_011Z-
10 verbose logfile /tmp/claude-1000/-home-akis-Desktop-pi-lens/***/scratchpad/wt-knip/.probe-home/npm-cache/_logs/2026-09-09T18_40_29_011Z-debug-0.log
11 warn Unknown env config "metrics-registry". This will stop working in the next major version of npm. See `npm help npmrc` for supported config options.
12 warn Unknown env config "globalignorefile". This will stop working in the next major version of npm. See `npm help npmrc` for supported config options.
13 silly logfile done cleaning log files
14 silly packumentCache heap:4345298944 maxSize:1086324736 maxEntrySize:543162368
15 silly idealTree buildDeps
16 silly fetch manifest @rolldown/binding-openharmony-arm64@1.2.8
17 silly packumentCache full:https://registry.npmjs.org/@rolldown%2fbinding-openharmony-arm64 cache-miss
18 http fetch GET 200 https://registry.npmjs.org/@rolldown%2fbinding-openharmony-arm64 560ms (cache miss)
19 silly packumentCache full:https://registry.npmjs.org/@rolldown%2fbinding-openharmony-arm64 set size:undefined disposed:false
20 silly placeDep ROOT @rolldown/binding-openharmony-arm64@1.2.8 OK for: rolldown@1.2.8 want: 1.2.8
21 silly reify moves {}
22 http cache @earendil-works/pi-coding-agent@https://registry.npmjs.org/@earendil-works/pi-coding-agent/-/pi-coding-agent-0.85.1.tgz 0ms (cache hit)
23 silly tarball no local data for @earendil-works/pi-coding-agent@https://registry.npmjs.org/@earendil-works/pi-coding-agent/-/pi-coding-agent-0.85.1.tgz. Extracting by manifest.
24 http fetch GET 200 https://registry.npmjs.org/@earendil-works/pi-coding-agent/-/pi-coding-agent-0.85.1.tgz 811ms (cache miss)
25 http cache zod@https://registry.npmjs.org/zod/-/zod-4.5.4.tgz 0ms (cache hit)
26 http cache yoctocolors@https://registry.npmjs.org/yoctocolors/-/yoctocolors-2.2.0.tgz 0ms (cache hit)
27 http cache web-tree-sitter@https://registry.npmjs.org/web-tree-sitter/-/web-tree-sitter-0.25.10.tgz 0ms (cache hit)
28 http cache why-is-node-running@https://registry.npmjs.org/why-is-node-running/-/why-is-node-running-2.3.0.tgz 0ms (cache hit)
29 http cache which@https://registry.npmjs.org/which/-/which-2.0.2.tgz 0ms (cache hit)
30 http cache weapon-regex@https://registry.npmjs.org/weapon-regex/-/weapon-regex-2.0.5.tgz 0ms (cache hit)
31 http cache watskeburt@https://registry.npmjs.org/watskeburt/-/watskeburt-6.0.0.tgz 0ms (cache hit)
32 http cache walk-up-path@https://registry.npmjs.org/walk-up-path/-/walk-up-path-4.0.0.tgz 0ms (cache hit)
33 http cache vscode-jsonrpc@https://registry.npmjs.org/vscode-jsonrpc/-/vscode-jsonrpc-9.0.2.tgz 0ms (cache hit)
34 http cache yaml@https://registry.npmjs.org/yaml/-/yaml-2.9.0.tgz 0ms (cache hit)
35 http cache vite@https://registry.npmjs.org/vite/-/vite-8.2.2.tgz 0ms (cache hit)
36 http cache vitest@https://registry.npmjs.org/vitest/-/vitest-5.0.0.tgz 0ms (cache hit)
37 http cache update-browserslist-db@https://registry.npmjs.org/update-browserslist-db/-/update-browserslist-db-1.3.2.tgz 0ms (cache hit)
38 http cache unicorn-magic@https://registry.npmjs.org/unicorn-magic/-/unicorn-magic-0.3.0.tgz 0ms (cache hit)
39 http cache undici-types@https://registry.npmjs.org/undici-types/-/undici-types-8.3.0.tgz 0ms (cache hit)
40 http cache underscore@https://registry.npmjs.org/underscore/-/underscore-1.13.8.tgz 0ms (cache hit)
41 http cache unbash@https://registry.npmjs.org/unbash/-/unbash-4.0.11.tgz 0ms (cache hit)
42 http cache typescript@https://registry.npmjs.org/typescript/-/typescript-7.0.2.tgz 0ms (cache hit)
43 http cache typescript-language-server@https://registry.npmjs.org/typescript-language-server/-/typescript-language-server-5.3.0.tgz 0ms (cache hit)
44 http cache typed-rest-client@https://registry.npmjs.org/typed-rest-client/-/typed-rest-client-2.3.1.tgz 0ms (cache hit)
45 http cache typed-inject@https://registry.npmjs.org/typed-inject/-/typed-inject-5.0.0.tgz 0ms (cache hit)
46 http cache typebox@https://registry.npmjs.org/typebox/-/typebox-1.3.28.tgz 0ms (cache hit)
47 http cache tunnel@https://registry.npmjs.org/tunnel/-/tunnel-0.0.6.tgz 0ms (cache hit)
48 http cache tslib@https://registry.npmjs.org/tslib/-/tslib-2.8.1.tgz 0ms (cache hit)
49 http cache tsconfig-paths-webpack-plugin@https://registry.npmjs.org/tsconfig-paths-webpack-plugin/-/tsconfig-paths-webpack-plugin-4.2.0.tgz 0ms (cache hit)
50 http cache tsconfig-paths@https://registry.npmjs.org/tsconfig-paths/-/tsconfig-paths-4.2.0.tgz 0ms (cache hit)
51 http cache tree-kill@https://registry.npmjs.org/tree-kill/-/tree-kill-1.2.2.tgz 0ms (cache hit)
52 http cache tinypool@https://registry.npmjs.org/tinypool/-/tinypool-2.1.0.tgz 0ms (cache hit)
53 http cache tinyrainbow@https://registry.npmjs.org/tinyrainbow/-/tinyrainbow-3.1.1.tgz 0ms (cache hit)
54 http cache tinyglobby@https://registry.npmjs.org/tinyglobby/-/tinyglobby-0.2.17.tgz 0ms (cache hit)
55 http cache tinyexec@https://registry.npmjs.org/tinyexec/-/tinyexec-1.3.1.tgz 0ms (cache hit)
56 http cache tinybench@https://registry.npmjs.org/tinybench/-/tinybench-6.1.4.tgz 0ms (cache hit)
57 http cache tapable@https://registry.npmjs.org/tapable/-/tapable-2.3.3.tgz 0ms (cache hit)
58 http cache supports-preserve-symlinks-flag@https://registry.npmjs.org/supports-preserve-symlinks-flag/-/supports-preserve-symlinks-flag-1.0.0.tgz 0ms (cache hit)
59 http cache supports-color@https://registry.npmjs.org/supports-color/-/supports-color-7.2.0.tgz 0ms (cache hit)
60 http cache strip-json-comments@https://registry.npmjs.org/strip-json-comments/-/strip-json-comments-5.0.3.tgz 0ms (cache hit)
61 http cache strip-final-newline@https://registry.npmjs.org/strip-final-newline/-/strip-final-newline-4.0.0.tgz 0ms (cache hit)
62 http cache strip-bom@https://registry.npmjs.org/strip-bom/-/strip-bom-3.0.0.tgz 0ms (cache hit)
63 http cache std-env@https://registry.npmjs.org/std-env/-/std-env-4.2.0.tgz 0ms (cache hit)
64 http cache source-map-js@https://registry.npmjs.org/source-map-js/-/source-map-js-1.2.1.tgz 0ms (cache hit)
65 http cache stackback@https://registry.npmjs.org/stackback/-/stackback-0.0.2.tgz 0ms (cache hit)
66 http cache source-map@https://registry.npmjs.org/source-map/-/source-map-0.7.6.tgz 0ms (cache hit)
67 http cache smol-toml@https://registry.npmjs.org/smol-toml/-/smol-toml-1.8.0.tgz 0ms (cache hit)
68 http cache signal-exit@https://registry.npmjs.org/signal-exit/-/signal-exit-4.1.0.tgz 0ms (cache hit)
69 http cache sisteransi@https://registry.npmjs.org/sisteransi/-/sisteransi-1.0.5.tgz 0ms (cache hit)
70 http cache side-channel-weakmap@https://registry.npmjs.org/side-channel-weakmap/-/side-channel-weakmap-1.0.2.tgz 0ms (cache hit)
71 http cache siginfo@https://registry.npmjs.org/siginfo/-/siginfo-2.0.0.tgz 0ms (cache hit)
72 http cache side-channel-map@https://registry.npmjs.org/side-channel-map/-/side-channel-map-1.0.1.tgz 0ms (cache hit)
73 http cache shebang-regex@https://registry.npmjs.org/shebang-regex/-/shebang-regex-3.0.0.tgz 0ms (cache hit)
74 http cache side-channel@https://registry.npmjs.org/side-channel/-/side-channel-1.1.1.tgz 0ms (cache hit)
75 http cache side-channel-list@https://registry.npmjs.org/side-channel-list/-/side-channel-list-1.0.1.tgz 0ms (cache hit)
76 http cache shebang-command@https://registry.npmjs.org/shebang-command/-/shebang-command-2.0.0.tgz 0ms (cache hit)
77 http cache semver@https://registry.npmjs.org/semver/-/semver-7.8.5.tgz 0ms (cache hit)
78 http cache safe-regex@https://registry.npmjs.org/safe-regex/-/safe-regex-2.1.1.tgz 0ms (cache hit)
79 http cache safer-buffer@https://registry.npmjs.org/safer-buffer/-/safer-buffer-2.1.2.tgz 0ms (cache hit)
80 http cache sade@https://registry.npmjs.org/sade/-/sade-1.8.1.tgz 0ms (cache hit)
81 http cache safe-buffer@https://registry.npmjs.org/safe-buffer/-/safe-buffer-5.2.1.tgz 0ms (cache hit)
82 http cache rxjs@https://registry.npmjs.org/rxjs/-/rxjs-7.8.2.tgz 0ms (cache hit)
83 http cache rolldown@https://registry.npmjs.org/rolldown/-/rolldown-1.2.8.tgz 0ms (cache hit)
